title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
in catilinam,676,22,10,2,10,154.0,11.0,45.0,12.0,64.0,40.0,11.0,4.0,1.0,15.0,8.0,4.0,14.0,8.0,152.0,5.0,3.0,32.0,1.0,2.0,28.0,8.0,15.0,4.0,2.0,586.0,11.0,68.0,0.9128440366972477
in catilinam 1,200,10,5,0,5,45.0,1.0,16.0,4.0,16.0,10.0,5.0,1.0,0.0,4.0,1.0,0.0,6.0,3.0,35.0,0.0,1.0,16.0,0.0,1.0,7.0,6.0,4.0,1.0,1.0,165.0,6.0,25.0,0.9
in catilinam 2,183,3,1,0,2,33.0,4.0,10.0,4.0,28.0,14.0,0.0,1.0,0.0,8.0,4.0,1.0,5.0,2.0,40.0,3.0,0.0,8.0,0.0,0.0,5.0,1.0,4.0,0.0,1.0,165.0,4.0,15.0,0.9388888888888889
in catilinam 3,153,7,4,0,3,43.0,5.0,8.0,1.0,9.0,7.0,4.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,37.0,0.0,1.0,3.0,0.0,1.0,11.0,1.0,3.0,3.0,0.0,127.0,1.0,19.0,0.8767123287671232
in catilinam 4,140,2,0,2,0,33.0,1.0,11.0,3.0,11.0,9.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,40.0,2.0,1.0,5.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,129.0,0.0,9.0,0.9347826086956522
in pisonem,663,45,8,4,9,133.0,21.0,25.0,10.0,53.0,32.0,8.0,3.0,1.0,7.0,6.0,2.0,5.0,7.0,177.0,2.0,3.0,29.0,0.0,4.0,48.0,12.0,14.0,4.0,0.0,528.0,12.0,90.0,0.8737864077669902
in sallustinum,112,3,1,1,1,15.0,7.0,4.0,5.0,4.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,23.0,0.0,3.0,4.0,0.0,0.0,20.0,5.0,2.0,2.0,1.0,77.0,2.0,32.0,0.7247706422018348
in vatinium,200,10,3,1,1,40.0,1.0,18.0,2.0,19.0,15.0,1.0,1.0,0.0,3.0,3.0,0.0,2.0,3.0,52.0,3.0,0.0,5.0,0.0,0.0,17.0,0.0,3.0,1.0,1.0,168.0,0.0,22.0,0.8842105263157894
in verrem,6728,396,109,69,215,1097.0,169.0,320.0,128.0,491.0,480.0,55.0,25.0,23.0,125.0,67.0,42.0,109.0,99.0,1475.0,52.0,49.0,352.0,7.0,23.0,582.0,129.0,193.0,90.0,21.0,5188.0,129.0,1144.0,0.8397030953885029
in verrem 1,254,11,8,1,3,38.0,6.0,19.0,8.0,20.0,18.0,1.0,1.0,1.0,7.0,2.0,0.0,5.0,1.0,48.0,0.0,1.0,18.0,2.0,1.0,24.0,9.0,6.0,4.0,0.0,197.0,3.0,46.0,0.823045267489712
