,title,total clausulae,pure cretic trochee (-u--x),cretic trochee 1 res (uuu--x),cretic trochee 1 res (-uuu-x),cretic trochee 1 res (-u-uux),cretic trochee 1 res total,cretic trochee 2 res (uuuuu-x),cretic trochee 2 res (uuu-uux),cretic trochee 2 res (-uuuuux),cretic trochee 2 res total,cretic trochee pure+res total,cretic trochee choriambic res,cretic trochee chor 1 res (uuuu--x),cretic trochee chor 1 res (-uuuu-x),cretic trochee chor 1 res (-uu-uux),cretic trochee chor 1 res total,cretic trochee choriambic total,cretic trochee epitrite res,cretic trochee ep 1 res (uuu---x),cretic trochee ep 1 res (-uuu--x),cretic trochee ep 1 res (-u-uu-x),cretic trochee ep 1 res (-u--uux),cretic trochee ep 1 res total,cretic trochee epitrite total,cretic trochee total,double/molossus-cretic pure double cretic,double/molossus-cretic pure molossus cretic,double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic 1 res total,double/molossus-cretic pure+res total,double/molossus-cretic choriambic res,double/molossus-cretic chor 1 res (uuuu--ux),double/molossus-cretic chor 1 res (-uuuu-ux),double/molossus-cretic chor 1 res (-uu-uuux),double/molossus-cretic chor 1 res total,double/molossus-cretic chor total,double/molossus-cretic epitrite res,double/molossus-cretic epitrite 1 res (uuu---ux),double/molossus-cretic epitrite 1 res (-uuu--ux),double/molossus-cretic epitrite 1 res (-u-uu-ux),double/molossus-cretic epitrite 1 res total,double/molossus-cretic ep total,double/molossus-cretic total
20,post reditum ad populum,216.0,26.0,1.0,11.0,1.0,13.0,1.0,0.0,0.0,1.0,40.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,45.0,5.0,1.0,2.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,5.0,14.0
21,pro milone,1278.0,97.0,5.0,31.0,10.0,46.0,8.0,2.0,1.0,11.0,154.0,6.0,0.0,1.0,2.0,3.0,9.0,10.0,3.0,5.0,3.0,1.0,12.0,22.0,185.0,71.0,46.0,5.0,4.0,0.0,9.0,126.0,14.0,2.0,0.0,0.0,2.0,16.0,5.0,4.0,3.0,2.0,9.0,14.0,156.0
22,arati prognotica,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,epistula ad ocatianum,132.0,13.0,1.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,23.0,4.0,4.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,12.0
24,post reditum in senatu,366.0,38.0,9.0,14.0,4.0,27.0,2.0,1.0,0.0,3.0,68.0,2.0,2.0,0.0,0.0,2.0,4.0,4.0,3.0,7.0,0.0,0.0,10.0,14.0,86.0,15.0,4.0,1.0,1.0,0.0,2.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,25.0
25,paradoxa stoicorum,636.0,37.0,5.0,9.0,8.0,22.0,0.0,0.0,0.0,0.0,59.0,3.0,3.0,2.0,0.0,5.0,8.0,5.0,1.0,2.0,2.0,1.0,6.0,11.0,78.0,46.0,23.0,2.0,4.0,1.0,7.0,76.0,3.0,1.0,1.0,0.0,2.0,5.0,3.0,1.0,1.0,0.0,2.0,5.0,86.0
26,de haruspicum responso,846.0,83.0,8.0,37.0,9.0,54.0,7.0,0.0,1.0,8.0,145.0,2.0,0.0,2.0,0.0,2.0,4.0,9.0,1.0,8.0,3.0,1.0,13.0,22.0,171.0,26.0,26.0,4.0,2.0,1.0,7.0,59.0,6.0,2.0,0.0,0.0,2.0,8.0,2.0,1.0,2.0,0.0,3.0,5.0,72.0
27,arati phaenomena,502.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,4.0,4.0,7.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,19.0,0.0,4.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
28,in sallustinum,224.0,16.0,6.0,3.0,5.0,14.0,0.0,0.0,1.0,1.0,31.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,6.0,0.0,0.0,8.0,14.0,47.0,4.0,1.0,2.0,3.0,1.0,6.0,11.0,3.0,2.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,2.0,3.0,19.0
29,pro archia,294.0,27.0,3.0,10.0,3.0,16.0,3.0,1.0,0.0,4.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,4.0,7.0,54.0,10.0,7.0,0.0,0.0,1.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,23.0
