title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,percent_artistic
de legibus,1223,80,3,58,19,118.0,10.0,58.0,14.0,192.0,107.0,23.0,11.0,3.0,33.0,12.0,9.0,25.0,20.0,215.0,10.0,11.0,79.0,3.0,1.0,81.0,24.0,27.0,9.0,1.0,1096.0,0.9588801399825022
topica,573,12,1,0,11,54.0,12.0,18.0,12.0,80.0,44.0,6.0,5.0,2.0,8.0,6.0,5.0,14.0,13.0,103.0,8.0,5.0,31.0,4.0,2.0,60.0,15.0,21.0,7.0,5.0,540.0,0.9625668449197861
cato maior de senectute,550,26,11,0,15,100.0,14.0,24.0,9.0,94.0,34.0,14.0,3.0,1.0,11.0,5.0,1.0,14.0,5.0,86.0,3.0,5.0,24.0,2.0,3.0,26.0,16.0,9.0,6.0,0.0,509.0,0.9713740458015268
in caecilium,334,17,8,0,9,66.0,7.0,15.0,10.0,29.0,30.0,3.0,1.0,0.0,8.0,3.0,2.0,3.0,4.0,70.0,1.0,1.0,16.0,0.0,1.0,23.0,8.0,6.0,4.0,0.0,311.0,0.9810725552050473
in vatinium,200,5,3,1,1,39.0,1.0,18.0,4.0,18.0,16.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,3.0,50.0,3.0,0.0,7.0,0.0,0.0,18.0,0.0,2.0,1.0,1.0,190.0,0.9743589743589743
epistulae ad atticum,11935,1233,159,305,769,1037.0,212.0,326.0,231.0,913.0,797.0,155.0,65.0,41.0,194.0,107.0,92.0,197.0,199.0,1888.0,116.0,125.0,635.0,37.0,85.0,1487.0,337.0,652.0,232.0,103.0,10263.0,0.9589796299757055
de natura deorum,2148,27,1,10,16,317.0,51.0,134.0,24.0,288.0,123.0,34.0,20.0,4.0,32.0,22.0,16.0,41.0,25.0,458.0,24.0,12.0,137.0,3.0,2.0,149.0,92.0,60.0,22.0,9.0,2099.0,0.9896275341819897
pro marcello,150,5,4,0,1,21.0,4.0,8.0,1.0,28.0,7.0,8.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,34.0,1.0,0.0,15.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,144.0,0.993103448275862
de finibus,2758,86,7,20,59,327.0,49.0,141.0,27.0,378.0,228.0,44.0,23.0,10.0,54.0,19.0,12.0,61.0,42.0,568.0,23.0,21.0,171.0,10.0,9.0,200.0,60.0,98.0,25.0,8.0,2608.0,0.9760479041916168
pro cluentio,1246,48,21,7,20,247.0,23.0,64.0,23.0,69.0,80.0,18.0,9.0,7.0,14.0,6.0,16.0,20.0,20.0,284.0,10.0,6.0,64.0,3.0,4.0,127.0,23.0,21.0,11.0,4.0,1173.0,0.9791318864774624
post reditum ad populum,107,5,1,3,1,25.0,1.0,11.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,33.0,2.0,1.0,3.0,0.0,0.0,7.0,3.0,0.0,2.0,0.0,102.0,1.0
pro milone,639,41,13,1,27,97.0,5.0,31.0,10.0,70.0,46.0,5.0,4.0,0.0,13.0,8.0,3.0,14.0,5.0,152.0,9.0,1.0,26.0,1.0,1.0,53.0,15.0,11.0,6.0,2.0,588.0,0.9832775919732442
arati prognotica,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,1.0
epistula ad ocatianum,66,1,0,1,0,13.0,1.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,61.0,0.9384615384615385
post reditum in senatu,182,11,6,2,3,37.0,9.0,14.0,4.0,13.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,55.0,2.0,1.0,3.0,0.0,0.0,19.0,2.0,1.0,2.0,0.0,171.0,1.0
paradoxa stoicorum,318,18,6,2,10,36.0,5.0,9.0,8.0,46.0,22.0,2.0,4.0,1.0,6.0,1.0,2.0,3.0,3.0,54.0,2.0,2.0,26.0,1.0,1.0,22.0,6.0,9.0,3.0,1.0,275.0,0.9166666666666666
de haruspicum responso,423,18,6,3,9,82.0,8.0,37.0,9.0,26.0,26.0,4.0,2.0,1.0,4.0,4.0,3.0,6.0,2.0,105.0,9.0,2.0,12.0,0.0,1.0,41.0,11.0,2.0,2.0,1.0,400.0,0.9876543209876543
arati phaenomena,250,3,0,3,0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,9.0,194.0,10.0,3.0,0.0,247.0,1.0
in sallustinum,112,3,1,1,1,16.0,6.0,3.0,5.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,24.0,0.0,3.0,4.0,0.0,0.0,21.0,5.0,2.0,2.0,1.0,107.0,0.981651376146789
pro archia,144,12,4,2,6,27.0,3.0,10.0,3.0,9.0,7.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,45.0,3.0,0.0,4.0,0.0,1.0,10.0,1.0,1.0,0.0,0.0,131.0,0.9924242424242424
pro flacco,841,53,14,10,29,119.0,19.0,49.0,13.0,63.0,52.0,6.0,6.0,1.0,12.0,7.0,5.0,12.0,13.0,222.0,7.0,6.0,31.0,1.0,0.0,67.0,12.0,22.0,5.0,3.0,753.0,0.9555837563451777
orationum depertiarum frr,380,44,20,10,14,47.0,8.0,9.0,7.0,20.0,21.0,1.0,2.0,1.0,2.0,2.0,1.0,6.0,7.0,69.0,4.0,5.0,19.0,3.0,1.0,29.0,11.0,14.0,4.0,2.0,295.0,0.8779761904761905
epistulae fragmenta,138,30,8,4,18,12.0,1.0,5.0,5.0,15.0,8.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,1.0,16.0,0.0,0.0,4.0,1.0,1.0,11.0,1.0,10.0,5.0,0.0,106.0,0.9814814814814815
pro roscio amerino,901,81,43,11,27,79.0,28.0,35.0,19.0,60.0,72.0,14.0,5.0,0.0,18.0,10.0,10.0,17.0,15.0,181.0,12.0,8.0,36.0,2.0,4.0,80.0,23.0,31.0,14.0,8.0,781.0,0.9524390243902439
de republica,1590,107,47,12,48,117.0,18.0,48.0,15.0,188.0,120.0,21.0,9.0,5.0,32.0,16.0,1.0,30.0,14.0,171.0,6.0,9.0,83.0,2.0,3.0,89.0,19.0,37.0,9.0,3.0,1065.0,0.7181389076196898
pro lege manilia,298,14,5,1,8,87.0,6.0,31.0,5.0,13.0,10.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,84.0,2.0,0.0,5.0,0.0,0.0,22.0,3.0,2.0,1.0,0.0,284.0,1.0
orationum incertarum frr,35,2,0,1,1,4.0,1.0,1.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,33.0,1.0
