title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
pro caecina,1720,204,27,15,162,169.0,50.0,58.0,32.0,83.0,124.0,20.0,5.0,9.0,22.0,14.0,15.0,19.0,22.0,277.0,17.0,17.0,77.0,5.0,7.0,221.0,53.0,90.0,18.0,5.0,1429.0,87.0,1.0
pro caelio,1429,171,26,2,143,189.0,24.0,63.0,28.0,89.0,65.0,14.0,8.0,5.0,9.0,12.0,9.0,11.0,16.0,286.0,23.0,11.0,60.0,5.0,7.0,112.0,43.0,72.0,4.0,5.0,1170.0,88.0,1.0
pro cluentio,3095,369,105,11,253,410.0,57.0,108.0,58.0,146.0,165.0,28.0,19.0,27.0,28.0,16.0,30.0,36.0,48.0,549.0,30.0,42.0,169.0,6.0,11.0,341.0,90.0,116.0,44.0,9.0,2583.0,143.0,1.0
pro flacco,2161,343,67,15,246,221.0,37.0,69.0,32.0,124.0,113.0,13.0,11.0,8.0,22.0,20.0,17.0,23.0,21.0,420.0,19.0,17.0,84.0,4.0,5.0,211.0,45.0,109.0,12.0,6.0,1663.0,155.0,1.0
pro fonteio,758,165,51,14,76,78.0,12.0,33.0,11.0,35.0,44.0,8.0,3.0,0.0,9.0,6.0,3.0,8.0,14.0,110.0,3.0,9.0,33.0,1.0,2.0,77.0,14.0,32.0,3.0,2.0,550.0,43.0,1.0
pro lege manilia,801,97,29,2,66,144.0,18.0,52.0,17.0,40.0,46.0,3.0,3.0,2.0,4.0,5.0,4.0,9.0,13.0,160.0,4.0,5.0,38.0,1.0,3.0,62.0,17.0,21.0,9.0,2.0,682.0,22.0,1.0
pro ligario,640,123,24,0,99,58.0,10.0,26.0,11.0,45.0,26.0,6.0,3.0,4.0,2.0,5.0,1.0,7.0,7.0,106.0,7.0,3.0,21.0,3.0,3.0,60.0,13.0,34.0,10.0,1.0,472.0,45.0,1.0
pro marcello,435,51,17,0,34,49.0,8.0,16.0,11.0,53.0,28.0,10.0,5.0,0.0,7.0,3.0,1.0,5.0,1.0,68.0,3.0,1.0,26.0,0.0,1.0,38.0,6.0,17.0,2.0,2.0,361.0,23.0,1.0
pro milone,1887,298,60,3,234,205.0,15.0,55.0,27.0,146.0,96.0,10.0,8.0,2.0,23.0,15.0,13.0,19.0,18.0,357.0,18.0,15.0,76.0,3.0,5.0,213.0,52.0,72.0,25.0,3.0,1491.0,98.0,1.0
pro murena,1764,304,72,26,206,153.0,23.0,63.0,34.0,95.0,108.0,11.0,5.0,5.0,23.0,12.0,17.0,23.0,21.0,311.0,13.0,17.0,86.0,1.0,5.0,168.0,41.0,97.0,15.0,5.0,1352.0,108.0,1.0
